clip_id,provider,human_label
lowsnr-8b8005cb-5012-fe0a-02af-3b8c7598f86a,speechmatics-standard,
4c5c2147-ef50-6aab-f543-6cc57b92b1a0,cartesia-ink2,
2427d82b-728c-8ba3-a9c3-1c0d83c09b02,xai-grok-stt,
lowsnr-8f81e391-7e84-eb12-9f73-fce5371eb15f,speechmatics-standard,
snr+00-96cb7d51-a59e-a54d-6776-f94a1404457a,deepgram-nova3,
9c9047de-71cb-7deb-52ce-731ba494e5a5,cartesia-ink2,
sim-clinic-intake-p03-t06-symptom_duration,deepgram-nova3,
sim-insurance-claim-p01-t03-incident_date,google-chirp3,
sim-job-application-p04-t06-reference_code,speechmatics-enhanced,
tel8k-90827444-599c-0a4b-d1b6-0ca6590f8e0d,assemblyai-universal35pro,
sim-job-application-p00-t00-full_name,speechmatics-enhanced,
aa390aa9-bc21-52a3-fda8-a80ea25bc4fa,cartesia-ink2,
sim-insurance-claim-p06-t02-callback_phone,deepgram-nova3,
sim-insurance-claim-p02-t01-policy_number,soniox-rt-v5,
7f99dd00-988a-23b8-7aa2-558528b6740b,apple-speech-stt,
sim-job-application-p07-t04-salary_expectation,google-chirp3,
93784921-0769-176f-9403-6866c4a3199e,xai-grok-stt,
trailsil-acf09a0e-1c98-ac33-a544-8dd4eb2a79d9,speechmatics-standard,
snr+20-ad7d1832-9e93-42f6-5298-5be541fa9b0d,assemblyai-universal35pro,
sim-job-application-p07-t01-phone,google-chirp3,
fc07f3fe-9734-2e6d-41c0-2b00030132da,deepgram-flux,
lowsnr-cb019196-5aa2-654b-1134-170c40b56bb6,elevenlabs-scribe2,
c4a76708-72f3-3167-29ea-b8d80190039f,apple-speech-stt,
snr-05-90827444-599c-0a4b-d1b6-0ca6590f8e0d,soniox-rt-v5,
lowsnr-4779c1cb-5ebc-ccbc-9433-3be7128ca351,speechmatics-standard,
snr+05-b7801a1c-1256-14f6-0373-dc2c2f672745,speechmatics-enhanced,
sim-clinic-intake-p06-t01-contact_phone,google-chirp3,
snr+00-4946c229-7806-af10-839c-bb40cf35896d,deepgram-nova3,
tel8k-ccd031a0-b2a7-8693-c226-00105fbb37d2,deepgram-nova3,
545d2919-6153-7187-fc95-48ff62a7276c,apple-speech-stt,
830ff8f9-96f4-ee1f-f640-d0b87f18e66c,deepgram-flux,
b7b879c4-6579-ff70-0e01-2bb8115effa9,cartesia-ink2,
sim-clinic-intake-p02-t01-contact_phone,google-chirp3,
sim-insurance-claim-p03-t06-rooms_affected,elevenlabs-scribe2,
